country,YEAR,ESS_wave,Wgt_median_anti_immig_pos,Wgt_mean_anti_immig_pos
HU,2008,0608_interpolation,6,5.6644063240563245
HU,2009,2008,6,5.501299936479621
HU,2010,0810_interpolation,6,5.449707639201749
HU,2011,2010,6,5.398115341923878
HU,2012,1012_interpolation,6,5.489233092585231
HU,2013,2012,6,5.580350843246584
HU,2014,1214_interpolation,6,5.7029623373740845
HU,2015,2014,6,5.825573831501585
HU,2016,1416_interpolation,6,6.136733582405356
HU,2017,2016,6,6.4478933333091275
HU,2018,1618_interpolation,NA,NA
IE,2003,2002,3,3.5679772532131793
IE,2004,0204_interpolation,3,3.543904175566216
IE,2005,2004,3,3.5198310979192535
IE,2006,0406_interpolation,3,3.512624111899445
IE,2007,2006,3,3.505417125879637
IE,2008,0608_interpolation,3,3.729218977474141
IE,2009,2008,3,3.953020829068645
IE,2010,0810_interpolation,3.5,4.186766672468137
IE,2011,2010,4,4.420512515867628
IE,2012,1012_interpolation,4,4.2708658982901415
IE,2013,2012,4,4.121219280712654
IE,2014,1214_interpolation,4,4.23735860322199
IE,2015,2014,4,4.353497925731325
IE,2016,1416_interpolation,3.5,4.061770790492459
IE,2017,2016,3,3.770043655253593
IE,2018,1618_interpolation,3,3.465559120888244
IT,2003,2002,3,3.7581201687743166
IT,2004,0204_interpolation,NA,NA
IT,2005,2004,NA,NA
IT,2006,0406_interpolation,NA,NA
IT,2007,2006,NA,NA
IT,2008,0608_interpolation,NA,NA
IT,2009,2008,NA,NA
IT,2010,0810_interpolation,NA,NA
IT,2011,2010,NA,NA
IT,2012,1012_interpolation,NA,NA
IT,2013,2012,3,3.83236995055628
IT,2014,1214_interpolation,NA,NA
IT,2015,2014,NA,NA
IT,2016,1416_interpolation,NA,NA
IT,2017,2016,5,4.762847052453122
IT,2018,1618_interpolation,4.5,4.536850265137067
LT,2003,2002,NA,NA
LT,2004,0204_interpolation,NA,NA
LT,2005,2004,NA,NA
LT,2006,0406_interpolation,NA,NA
LT,2007,2006,NA,NA
LT,2008,0608_interpolation,NA,NA
LT,2009,2008,NA,NA
LT,2010,0810_interpolation,NA,NA
LT,2011,2010,3,3.314998053112829
LT,2012,1012_interpolation,3,3.6218140357014255
LT,2013,2012,3,3.9286300182900216
LT,2014,1214_interpolation,3.5,4.095749241675266
LT,2015,2014,4,4.26286846506051
LT,2016,1416_interpolation,4.5,4.508121717055151
LT,2017,2016,5,4.753374969049792
LT,2018,1618_interpolation,4.5,4.346681084165164
LU,2003,2002,5,4.489161434624459
LU,2004,0204_interpolation,4.5,4.473818159579437
LU,2005,2004,4,4.458474884534416
LU,2006,0406_interpolation,NA,NA
LU,2007,2006,NA,NA
LU,2008,0608_interpolation,NA,NA
LU,2009,2008,NA,NA
LU,2010,0810_interpolation,NA,NA
LU,2011,2010,NA,NA
LU,2012,1012_interpolation,NA,NA
LU,2013,2012,NA,NA
LU,2014,1214_interpolation,NA,NA
LU,2015,2014,NA,NA
LU,2016,1416_interpolation,NA,NA
LU,2017,2016,NA,NA
LU,2018,1618_interpolation,NA,NA
LV,2003,2002,NA,NA
LV,2004,0204_interpolation,NA,NA
LV,2005,2004,NA,NA
LV,2006,0406_interpolation,NA,NA
LV,2007,2006,NA,NA
LV,2008,0608_interpolation,NA,NA
LV,2009,2008,6,5.411289583985438
LV,2010,0810_interpolation,NA,NA
LV,2011,2010,NA,NA
LV,2012,1012_interpolation,NA,NA
LV,2013,2012,NA,NA
LV,2014,1214_interpolation,NA,NA
LV,2015,2014,NA,NA
LV,2016,1416_interpolation,NA,NA
LV,2017,2016,NA,NA
LV,2018,1618_interpolation,NA,NA
NL,2003,2002,4,4.242740172833172
NL,2004,0204_interpolation,4,4.270753447107408
NL,2005,2004,4,4.298766721381643
NL,2006,0406_interpolation,4,4.383921969692979
NL,2007,2006,4,4.469077218004316
NL,2008,0608_interpolation,3.5,4.18751120294036
NL,2009,2008,3,3.905945187876405
NL,2010,0810_interpolation,3,3.9840916205593078
NL,2011,2010,3,4.06223805324221
NL,2012,1012_interpolation,3,4.0328239787586435
NL,2013,2012,3,4.003409904275077
NL,2014,1214_interpolation,3,3.961519374746991
NL,2015,2014,3,3.919628845218905
NL,2016,1416_interpolation,3,3.742466551232507
NL,2017,2016,3,3.5653042572461096
NL,2018,1618_interpolation,3,3.657577750807603
PL,2003,2002,4,4.065786513884968
PL,2004,0204_interpolation,3.5,3.94157673344617
PL,2005,2004,3,3.817366953007372
PL,2006,0406_interpolation,3,3.513968209551158
PL,2007,2006,3,3.210569466094944
PL,2008,0608_interpolation,3,3.1743438494453025
PL,2009,2008,3,3.138118232795661
PL,2010,0810_interpolation,3,3.1695714053061255
PL,2011,2010,3,3.20102457781659
PL,2012,1012_interpolation,3,3.213542884647911
PL,2013,2012,3,3.226061191479231
PL,2014,1214_interpolation,3,3.5996404811804155
PL,2015,2014,3,3.9732197708815993
PL,2016,1416_interpolation,4,4.320177265601401
PL,2017,2016,5,4.667134760321202
PL,2018,1618_interpolation,5,4.806999056597494
PT,2003,2002,6,5.285856272754055
PT,2004,0204_interpolation,6,5.442959635523713
PT,2005,2004,6,5.600062998293371
PT,2006,0406_interpolation,6,5.578528113664877
PT,2007,2006,6,5.556993229036384
PT,2008,0608_interpolation,6,5.455766499342101
PT,2009,2008,6,5.354539769647818
PT,2010,0810_interpolation,6,5.275020204497659
PT,2011,2010,6,5.195500639347501
PT,2012,1012_interpolation,6,5.391857622065767
PT,2013,2012,6,5.588214604784032
PT,2014,1214_interpolation,5,5.010105652082139
PT,2015,2014,4,4.431996699380244
PT,2016,1416_interpolation,3.5,4.008424240193035
PT,2017,2016,3,3.584851781005825
PT,2018,1618_interpolation,3,3.4223670825756187
RO,2003,2002,NA,NA
RO,2004,0204_interpolation,NA,NA
RO,2005,2004,NA,NA
RO,2006,0406_interpolation,NA,NA
RO,2007,2006,NA,NA
RO,2008,0608_interpolation,NA,NA
RO,2009,2008,4,4.250382712460111
RO,2010,0810_interpolation,NA,NA
RO,2011,2010,NA,NA
RO,2012,1012_interpolation,NA,NA
RO,2013,2012,NA,NA
RO,2014,1214_interpolation,NA,NA
RO,2015,2014,NA,NA
RO,2016,1416_interpolation,NA,NA
RO,2017,2016,NA,NA
RO,2018,1618_interpolation,NA,NA
SE,2003,2002,3,2.572552736313908
SE,2004,0204_interpolation,3,2.5778753053095977
SE,2005,2004,3,2.583197874305288
SE,2006,0406_interpolation,3,2.5019318806194413
SE,2007,2006,3,2.420665886933595
SE,2008,0608_interpolation,3,2.3860170300989942
SE,2009,2008,3,2.3513681732643934
SE,2010,0810_interpolation,3,2.3103124507539707
SE,2011,2010,3,2.2692567282435485
SE,2012,1012_interpolation,3,2.3690305771365647
SE,2013,2012,3,2.4688044260295805
SE,2014,1214_interpolation,3,2.2510102518386725
SE,2015,2014,3,2.033216077647765
SE,2016,1416_interpolation,3,2.101152583629636
SE,2017,2016,3,2.169089089611507
SE,2018,1618_interpolation,3,2.2497503588176473
SI,2003,2002,4,4.233886002363669
SI,2004,0204_interpolation,4,4.237228246774005
SI,2005,2004,4,4.24057049118434
SI,2006,0406_interpolation,4,4.281005128924592
SI,2007,2006,4,4.321439766664843
SI,2008,0608_interpolation,4,4.1929904435801735
SI,2009,2008,4,4.064541120495504
SI,2010,0810_interpolation,3.5,4.021074735133226
SI,2011,2010,3,3.9776083497709482
SI,2012,1012_interpolation,3,4.003360759386075
SI,2013,2012,3,4.029113169001202
SI,2014,1214_interpolation,3,3.96232383475851
SI,2015,2014,3,3.895534500515818
SI,2016,1416_interpolation,3.5,3.9785167474667977
SI,2017,2016,4,4.061498994417778
SI,2018,1618_interpolation,4,4.059859525223997
SK,2003,2002,NA,NA
SK,2004,0204_interpolation,NA,NA
SK,2005,2004,3,3.7819119058482786
SK,2006,0406_interpolation,3,3.764920445973492
SK,2007,2006,3,3.7479289860987053
SK,2008,0608_interpolation,3.5,3.9029438119776865
SK,2009,2008,4,4.057958637856667
SK,2010,0810_interpolation,4,4.258164632487593
SK,2011,2010,4,4.458370627118518
SK,2012,1012_interpolation,4.5,4.599869039018384
SK,2013,2012,5,4.74136745091825
SK,2014,1214_interpolation,NA,NA
SK,2015,2014,NA,NA
SK,2016,1416_interpolation,NA,NA
SK,2017,2016,NA,NA
SK,2018,1618_interpolation,NA,NA
